Unnamed: 0,Time,Lat,Lon,Street,Visibility(km),Wind_Speed(km/h),Precipitation(mm),Astronomical_Twilight,road_closure,Date
167,15:30:00,40.850067,-73.944817,George Washington Bridge,0.32,5.63,0.76,Day,True,2017-01-14
168,08:30:00,40.735397,-73.974899,FDR Drive,,9.33,,Day,False,2017-01-15
169,10:30:00,40.785748,-73.92987099999998,Robert F Kennedy Bridge East,16.09,,,Day,False,2017-01-15
170,21:00:00,40.776707,-73.942589,FDR Drive,16.09,5.63,,Night,True,2017-01-15
171,08:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,,,Day,True,2017-01-16
172,17:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,7.4,,Day,False,2017-01-16
173,18:00:00,40.718971,-73.974968,E Houston Street,,7.4,253.75,Day,False,2017-01-16
174,05:30:00,40.765228,-73.951904,FDR Drive,14.48,9.33,,Night,True,2017-01-17
175,07:00:00,40.718971,-73.974968,E Houston Street,,7.4,,Day,True,2017-01-17
176,07:30:00,40.722542,-74.00140400000002,Greene Street,,7.4,,Day,False,2017-01-17
177,14:00:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,4.02,13.04,,Day,False,2017-01-17
178,20:00:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,4.02,14.81,0.25,Night,True,2017-01-17
179,07:00:00,40.849899,-73.943916,George Washington Bridge,9.66,9.33,,Day,False,2017-01-18
180,13:30:00,40.851543,-73.95208000000002,George Washington Bridge,14.48,14.81,,Day,False,2017-01-18
181,14:30:00,40.765888,-73.951431,FDR Drive,16.09,11.1,,Day,True,2017-01-18
182,14:30:00,40.779881,-73.94384000000002,FDR Drive,16.09,11.1,,Day,True,2017-01-18
183,17:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,5.63,,Day,False,2017-01-18
184,07:30:00,40.742901,-73.992798,Avenue of the Americas,16.09,5.63,,Day,False,2017-01-19
185,10:30:00,40.75544,-73.96210500000002,East 54th Street,16.09,11.1,,Day,False,2017-01-19
186,12:00:00,40.715961,-73.99593399999998,Manhattan Bridge South,,5.63,253.75,Day,True,2017-01-19
187,13:30:00,40.778812,-73.974075,Central Park West,16.09,13.04,,Day,False,2017-01-19
188,15:00:00,40.84603900000001,-73.93024399999999,Trans-Manhattan Expy West,16.09,5.63,,Day,True,2017-01-19
189,17:30:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,,,Day,False,2017-01-19
190,18:30:00,40.817947,-73.961731,Saint Clair Place,16.09,11.1,,Night,True,2017-01-19
191,04:00:00,40.810776,-73.952606,Saint Nicholas Avenue,16.09,9.33,,Night,False,2017-01-20
192,04:30:00,40.727825,-73.99477399999998,West 3rd Street,,13.04,,Night,True,2017-01-20
193,05:30:00,40.771381,-73.956474,2nd Avenue,16.09,5.63,,Night,False,2017-01-20
194,09:00:00,40.80416500000001,-73.931038,Harlem River Drive North,8.05,,,Day,False,2017-01-21
195,14:00:00,40.802647,-73.930199,Harlem River Drive North,8.05,5.63,,Day,False,2017-01-21
196,19:30:00,40.779087,-73.943359,FDR Drive,4.83,,,Night,True,2017-01-21
197,09:30:00,40.872883,-73.91214000000002,Broadway,0.0,13.04,,Day,True,2017-01-22
198,10:30:00,40.764324,-73.977203,Avenue of the Americas,4.83,9.33,,Day,False,2017-01-22
199,14:30:00,40.782818,-73.943871,East 96th Street,9.66,18.51,,Day,True,2017-01-22
200,18:00:00,40.782818,-73.943871,East 96th Street,12.87,13.04,,Day,False,2017-01-22
201,19:00:00,40.764923,-73.972534,Grand Army Placez,6.44,27.84,4.32,Night,False,2017-01-23
202,04:30:00,40.725643,-74.01106999999998,West Street,8.05,24.14,0.25,Night,False,2017-01-24
203,05:00:00,40.742451,-74.008781,West Street,8.05,16.74,,Night,True,2017-01-24
204,05:30:00,40.795471,-73.965622,Columbus Avenue,4.83,18.51,1.02,Day,False,2017-01-24
205,08:30:00,40.830215,-73.939766,West 155th Street,6.44,24.14,,Day,True,2017-01-24
206,10:30:00,40.742702,-73.98451999999997,East 27th Street,9.66,11.1,0.0,Day,False,2017-01-24
207,10:30:00,40.753323,-73.972588,3rd Avenue,9.66,11.1,0.0,Day,False,2017-01-24
208,15:30:00,40.866863,-73.93195300000002,Henry Hudson Parkway,8.05,35.24,0.25,Day,False,2017-01-24
209,07:30:00,40.850067,-73.944817,George Washington Bridge,16.09,9.33,,Day,True,2017-01-25
210,09:30:00,40.850067,-73.944817,George Washington Bridge,16.09,14.81,,Day,False,2017-01-25
211,10:00:00,40.850067,-73.944817,George Washington Bridge,16.09,13.04,,Day,True,2017-01-25
212,11:30:00,40.755348,-73.96167,FDR Drive,16.09,13.04,,Day,False,2017-01-25
213,11:30:00,40.755348,-73.96167,FDR Drive,16.09,13.04,,Day,False,2017-01-25
214,11:30:00,40.760159,-73.957504,FDR Drive,16.09,13.04,,Day,True,2017-01-25
215,14:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,22.21,,Day,False,2017-01-25
216,14:30:00,40.752464,-73.96419499999998,FDR Drive,16.09,16.74,,Day,True,2017-01-25
217,15:30:00,40.817947,-73.961731,Saint Clair Place,16.09,9.33,,Day,True,2017-01-25
218,22:30:00,40.71413,-73.999985,Worth Street,16.09,11.1,,Night,False,2017-01-25
219,06:00:00,40.759945,-73.961479,Ed Koch Queensboro Bridge,16.09,5.63,,Day,False,2017-01-26
220,11:00:00,40.733677,-73.999496,West 8th Street,16.09,,0.0,Day,True,2017-01-26
221,11:00:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Day,True,2017-01-26
222,13:00:00,40.708187,-73.999374,Brooklyn Bridge,16.09,13.04,253.24,Day,False,2017-01-26
223,14:00:00,40.841084,-73.939774,Broadway,16.09,20.44,,Day,True,2017-01-26
224,16:00:00,40.831905,-73.935287,Harlem River Drive South,16.09,27.84,,Day,False,2017-01-26
225,17:30:00,40.782818,-73.943871,East 96th Street,16.09,5.63,,Day,False,2017-01-26
226,18:30:00,40.782818,-73.943871,East 96th Street,16.09,11.1,,Night,True,2017-01-26
227,20:30:00,40.80928,-73.93494399999999,Harlem River Drive South,9.66,11.1,,Night,True,2016-10-20
228,05:00:00,40.785057,-73.93,Robert F Kennedy Bridge East,12.87,5.63,,Night,True,2016-10-21
229,14:30:00,40.851543,-73.95208000000002,George Washington Bridge,14.48,,1.27,Day,True,2016-10-21
230,14:30:00,40.834126,-73.949951,Marginal Street,14.48,,1.27,Day,True,2016-10-21
231,16:00:00,40.718971,-73.974968,E Houston Street,,,,Day,True,2016-10-21
232,22:00:00,40.853569,-73.93836999999998,Pinehurst Avenue,4.02,,,Night,False,2016-10-21
233,02:00:00,40.707687,-74.000076,FDR Drive,,,,Night,False,2016-10-22
234,20:30:00,40.727013,-73.971954,FDR Drive,,,,Night,True,2016-10-22
235,08:00:00,40.804005,-73.927925,WillisAvenue Bridge,16.09,5.63,,Day,False,2016-10-24
236,10:00:00,40.850067,-73.944817,George Washington Bridge,16.09,13.04,,Day,True,2016-10-24
237,11:00:00,40.707687,-74.000076,FDR Drive,,,,Day,False,2016-10-24
238,17:00:00,40.746136,-73.973747,Tunnel Approach Street,16.09,9.33,,Day,True,2016-10-24
239,06:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,7.4,,Day,False,2016-10-25
